epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2368.95,0.77096,0.61025,1.01714,0.62931,0.62218,0.6428,0.46072,1.19509,1.04314,1.4354,0.000121099,0.000121099,0.000121099
92,2393.88,0.75546,0.57355,1.01037,0.63045,0.64806,0.66214,0.47671,1.19818,1.00339,1.44395,0.0001101,0.0001101,0.0001101
93,2418.45,0.73737,0.55807,1.00112,0.60064,0.65232,0.66319,0.47708,1.20574,1.02662,1.439,9.91012e-05,9.91012e-05,9.91012e-05
94,2442.17,0.73126,0.55314,1.00794,0.61023,0.66199,0.65564,0.47323,1.18238,1.01627,1.42931,8.81023e-05,8.81023e-05,8.81023e-05
95,2467.27,0.72202,0.5464,0.99762,0.64094,0.60869,0.65708,0.47486,1.18419,1.02646,1.41605,7.71034e-05,7.71034e-05,7.71034e-05
96,2492.15,0.71658,0.53456,0.9946,0.59086,0.67854,0.6528,0.47303,1.17879,1.03838,1.4284,6.61045e-05,6.61045e-05,6.61045e-05
97,2515.47,0.72234,0.5399,0.99384,0.60408,0.63621,0.65256,0.47326,1.18679,1.03542,1.42062,5.51056e-05,5.51056e-05,5.51056e-05
98,2540.33,0.71192,0.51421,0.99315,0.62462,0.62837,0.65675,0.47668,1.18308,1.02011,1.41659,4.41067e-05,4.41067e-05,4.41067e-05
99,2565.14,0.71126,0.52785,0.99216,0.59434,0.65785,0.64926,0.47031,1.18209,1.02487,1.41895,3.31078e-05,3.31078e-05,3.31078e-05
100,2589.81,0.70985,0.51992,0.98693,0.63624,0.62905,0.64978,0.47207,1.17713,1.03063,1.42011,2.21089e-05,2.21089e-05,2.21089e-05
